% Model:              sjngle_small_gate_2deg_jnalas_semj_ec.mph
% Versjon:            COMSOL 6.1.0.357
% Date:               Jul 7 2023, 14:05
% Table:              Admjttance, Harmonjc Perturbatjon - 
% Vdc (V)                                         Vs_on                                             Vd_on                                             Vg_on                                             freq (Hz)                                         Tref (K)                                          ljndev(semj.I0_1) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_1) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_1) / ljndev(semj.V0_3) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_3) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_3) (S)
0                                                 1                                                 0                                                 0                                                 4.0E9                                             50                                                1.013676385664099E-4+4.604051180377658E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -1.0136471906707322E-4-4.561417142178992E-4j      nan+nan*1j                                         nan+nan*1j                                         -2.961217311099601E-9-4.263400943540942E-6j       nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 4.4E9                                             50                                                1.2080284850447155E-4+5.005001364297979E-4j       -nan-nan*1j                                        -nan-nan*1j                                        -1.2079946389072818E-4-4.958104952424062E-4j      nan+nan*1j                                         nan+nan*1j                                         -3.443644763777201E-9-4.6896420920070776E-6j      nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 4.8E9                                             50                                                1.414306777475257E-4+5.391198524819356E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -1.4142676109426535E-4-5.34003979155281E-4j       nan+nan*1j                                         nan+nan*1j                                         -3.960834698986835E-9-5.115871316499688E-6j       nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 5.2E9                                             50                                                1.631094120505851E-4+5.762175604984656E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -1.6310494089116944E-4-5.706754712876357E-4j      nan+nan*1j                                         nan+nan*1j                                         -4.512858697128171E-9-5.542088479504413E-6j       nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 5.6E9                                             50                                                1.8569830430509925E-4+6.117622079937664E-4j       -nan-nan*1j                                        -nan-nan*1j                                        -1.856932236781242E-4-6.057939026619281E-4j       nan+nan*1j                                         nan+nan*1j                                         -5.099505153487599E-9-5.968293331976206E-6j       nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 6.0E9                                             50                                                2.0905929989662765E-4+6.457374077303917E-4j       -nan-nan*1j                                        -nan-nan*1j                                        -2.09053621390448E-4-6.393429219730589E-4j        nan+nan*1j                                         nan+nan*1j                                         -5.7208203212959065E-9-6.394485741819862E-6j      nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 6.4E9                                             50                                                2.33058763356767E-4+6.781404683638205E-4j         -nan-nan*1j                                        -nan-nan*1j                                        -2.3305240911195016E-4-6.713198011312633E-4j      nan+nan*1j                                         nan+nan*1j                                         -6.3763516002094065E-9-6.8206653356101796E-6j     nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 6.8E9                                             50                                                2.575686300365618E-4+7.089810185860493E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -2.575615849594772E-4-7.01734177546839E-4j        nan+nan*1j                                         nan+nan*1j                                         -7.066087876990936E-9-7.246831849800879E-6j       nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 7.2E9                                             50                                                2.82467587215423E-4+7.382797119797212E-4j         -nan-nan*1j                                        -nan-nan*1j                                        -2.824598282331618E-4-7.30606723549366E-4j        nan+nan*1j                                         nan+nan*1j                                         -7.789784458201688E-9-7.67298500230957E-6j        nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 7.6E9                                             50                                                3.076419022140471E-4+7.660668979260305E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -3.076333075041304E-4-7.579677659078968E-4j       nan+nan*1j                                         nan+nan*1j                                         -8.546920573499443E-9-8.099124419843087E-6j       nan+nan*1j                                         nan+nan*1j
0                                                 1                                                 0                                                 0                                                 8.0E9                                             50                                                3.329858167342011E-4+7.923811273309674E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -3.329764479470129E-4-7.838558712761599E-4j       nan+nan*1j                                         nan+nan*1j                                         -9.33776783233058E-9-8.525249796101856E-6j        nan+nan*1j                                         nan+nan*1j
0                                                 0                                                 1                                                 0                                                 4.0E9                                             50                                                nan+nan*1j                                         -1.0136472440182124E-4-4.561417142357133E-4j      nan+nan*1j                                         -nan-nan*1j                                        1.0136763145850101E-4+4.6040511124313666E-4j      -nan-nan*1j                                        nan+nan*1j                                         -2.9612549283553165E-9-4.263400964777075E-6j      nan+nan*1j
0                                                 0                                                 1                                                 0                                                 4.4E9                                             50                                                nan+nan*1j                                         -1.2079945852637568E-4-4.958104955523217E-4j      nan+nan*1j                                         -nan-nan*1j                                        1.2080285318220089E-4+5.005001375054326E-4j       -nan-nan*1j                                        nan+nan*1j                                         -3.443616410466738E-9-4.689642093015473E-6j       nan+nan*1j
0                                                 0                                                 1                                                 0                                                 4.8E9                                             50                                                nan+nan*1j                                         -1.4142676461802108E-4-5.340039788363154E-4j      nan+nan*1j                                         -nan-nan*1j                                        1.4143067351474572E-4+5.391198469349936E-4j       -nan-nan*1j                                        nan+nan*1j                                         -3.960857819913837E-9-5.115871326620567E-6j       nan+nan*1j
0                                                 0                                                 1                                                 0                                                 5.2E9                                             50                                                nan+nan*1j                                         -1.6310493866392622E-4-5.706754711499662E-4j      nan+nan*1j                                         -nan-nan*1j                                        1.631094116519708E-4+5.762175524864525E-4j        -nan-nan*1j                                        nan+nan*1j                                         -4.512855992450305E-9-5.542088495254425E-6j       nan+nan*1j
0                                                 0                                                 1                                                 0                                                 5.6E9                                             50                                                nan+nan*1j                                         -1.856932379892745E-4-6.057939022318309E-4j       nan+nan*1j                                         -nan-nan*1j                                        1.8569828176504113E-4+6.117621851071327E-4j       -nan-nan*1j                                        nan+nan*1j                                         -5.099619257893183E-9-5.968293399732301E-6j       nan+nan*1j
0                                                 0                                                 1                                                 0                                                 6.0E9                                             50                                                nan+nan*1j                                         -2.0905362000871378E-4-6.393429224460695E-4j      nan+nan*1j                                         -nan-nan*1j                                        2.0905929976254992E-4+6.45737405185743E-4j        -nan-nan*1j                                        nan+nan*1j                                         -5.7208179849048425E-9-6.394485750851125E-6j      nan+nan*1j
0                                                 0                                                 1                                                 0                                                 6.4E9                                             50                                                nan+nan*1j                                         -2.3305241595487786E-4-6.713198005601448E-4j      nan+nan*1j                                         -nan-nan*1j                                        2.330587513333586E-4+6.781404552668063E-4j        -nan-nan*1j                                        nan+nan*1j                                         -6.376410903128077E-9-6.820665368898079E-6j       nan+nan*1j
0                                                 0                                                 1                                                 0                                                 6.8E9                                             50                                                nan+nan*1j                                         -2.5756160642749265E-4-7.017341753740449E-4j      nan+nan*1j                                         -nan-nan*1j                                        2.575686027904253E-4+7.089809966849508E-4j        -nan-nan*1j                                        nan+nan*1j                                         -7.066235356052839E-9-7.246831896985813E-6j       nan+nan*1j
0                                                 0                                                 1                                                 0                                                 7.2E9                                             50                                                nan+nan*1j                                         -2.8245983017096673E-4-7.306067240026855E-4j      nan+nan*1j                                         -nan-nan*1j                                        2.8246758212766964E-4+7.382797070215339E-4j       -nan-nan*1j                                        nan+nan*1j                                         -7.789809368281064E-9-7.672985019867815E-6j       nan+nan*1j
0                                                 0                                                 1                                                 0                                                 7.6E9                                             50                                                nan+nan*1j                                         -3.0763331028722986E-4-7.579677666425911E-4j      nan+nan*1j                                         -nan-nan*1j                                        3.076418885693421E-4+7.660668789717515E-4j        -nan-nan*1j                                        nan+nan*1j                                         -8.546975668463566E-9-8.099124481578738E-6j       nan+nan*1j
0                                                 0                                                 1                                                 0                                                 8.0E9                                             50                                                nan+nan*1j                                         -3.329764621622158E-4-7.838558694962198E-4j       nan+nan*1j                                         -nan-nan*1j                                        3.329857962640097E-4+7.923811092391355E-4j        -nan-nan*1j                                        nan+nan*1j                                         -9.337874999849889E-9-8.525249832252056E-6j       nan+nan*1j
0                                                 0                                                 0                                                 1                                                 4.0E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -2.9611672763249138E-9-4.263400920113744E-6j      nan+nan*1j                                         nan+nan*1j                                         -2.961182295123781E-9-4.263400971897378E-6j       -nan-nan*1j                                        -nan-nan*1j                                        5.922195410781705E-9+8.526801891489176E-6j
0                                                 0                                                 0                                                 1                                                 4.4E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -3.443560863031337E-9-4.68964207587309E-6j        nan+nan*1j                                         nan+nan*1j                                         -3.443574523237788E-9-4.689642118206172E-6j       -nan-nan*1j                                        -nan-nan*1j                                        6.886948998760701E-9+9.37928417158073E-6j
0                                                 0                                                 0                                                 1                                                 4.8E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -3.960805588517429E-9-5.115871306964256E-6j       nan+nan*1j                                         nan+nan*1j                                         -3.960812494870746E-9-5.1158713346538E-6j         -nan-nan*1j                                        -nan-nan*1j                                        7.921414961142574E-9+1.023174262745146E-5j
0                                                 0                                                 0                                                 1                                                 5.2E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -4.512824569426629E-9-5.5420884551789425E-6j      nan+nan*1j                                         nan+nan*1j                                         -4.51284525545523E-9-5.5420884959078695E-6j       -nan-nan*1j                                        -nan-nan*1j                                        9.025478747066688E-9+1.1084176946298804E-5j
0                                                 0                                                 0                                                 1                                                 5.6E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -5.09948861485614E-9-5.968293357957425E-6j        nan+nan*1j                                         nan+nan*1j                                         -5.099500150356032E-9-5.9682933785807084E-6j      -nan-nan*1j                                        -nan-nan*1j                                        1.0198908509525397E-8+1.1936586720047516E-5j
